Branch Name,Date,Loan Type,Loan Amount,Quarter
Wardha,11/1/11,Car,23,2011Q3
Wardha,11/3/11,Car,17,2011Q3
Wardha,11/5/11,Car,68,2011Q3
Wardha,11/7/11,Car,13,2011Q3
Wardha,11/9/11,Car,36,2011Q3
Wardha,11/11/11,Car,21,2011Q3
Wardha,11/13/11,Car,61,2011Q3
Wardha,11/15/11,Car,31,2011Q3
Wardha,11/17/11,Car,90,2011Q3
Wardha,11/19/11,Car,8,2011Q3
Wardha,11/21/11,Car,85,2011Q3
Wardha,11/23/11,Car,9,2011Q3
Wardha,11/25/11,Car,69,2011Q3
Wardha,11/27/11,Car,97,2011Q3
Wardha,11/29/11,Car,63,2011Q3
Wardha,10/2/11,Home,97,2011Q3
Wardha,10/3/11,Home,68,2011Q3
Wardha,10/4/11,Home,60,2011Q3
Wardha,10/5/11,Home,25,2011Q3
Wardha,10/6/11,Home,69,2011Q3
Wardha,10/7/11,Home,86,2011Q3
Wardha,10/8/11,Home,88,2011Q3
Wardha,10/9/11,Home,23,2011Q3
Wardha,10/10/11,Home,68,2011Q3
Wardha,10/11/11,Home,63,2011Q3
Wardha,10/12/11,Home,39,2011Q3
Wardha,10/13/11,Home,94,2011Q3
Wardha,10/14/11,Home,89,2011Q3
Wardha,10/15/11,Home,56,2011Q3
Wardha,10/16/11,Home,85,2011Q3
Wardha,11/1/11,Home,34,2011Q3
Wardha,11/3/11,Home,69,2011Q3
Wardha,11/5/11,Home,98,2011Q3
Wardha,11/7/11,Home,62,2011Q3
Wardha,11/9/11,Home,79,2011Q3
Wardha,11/11/11,Home,38,2011Q3
Wardha,11/13/11,Home,12,2011Q3
Wardha,11/15/11,Home,91,2011Q3
Wardha,11/17/11,Home,27,2011Q3
Wardha,11/19/11,Home,23,2011Q3
Wardha,11/21/11,Home,50,2011Q3
Wardha,11/23/11,Home,58,2011Q3
Wardha,11/25/11,Home,29,2011Q3
Wardha,11/27/11,Home,19,2011Q3
Wardha,11/29/11,Home,23,2011Q3
Chandrapur,10/2/11,Car,25,2011Q3
Chandrapur,10/3/11,Car,82,2011Q3
Chandrapur,10/4/11,Car,19,2011Q3
Chandrapur,10/5/11,Car,82,2011Q3
Chandrapur,10/6/11,Car,72,2011Q3
Chandrapur,10/7/11,Car,7,2011Q3
Chandrapur,10/8/11,Car,96,2011Q3
Chandrapur,10/9/11,Car,63,2011Q3
Chandrapur,10/10/11,Car,59,2011Q3
Chandrapur,10/11/11,Car,82,2011Q3
Chandrapur,10/12/11,Car,78,2011Q3
Chandrapur,10/13/11,Car,95,2011Q3
Chandrapur,10/14/11,Car,9,2011Q3
Chandrapur,10/15/11,Car,25,2011Q3
Chandrapur,10/16/11,Car,31,2011Q3
Chandrapur,11/1/11,Car,15,2011Q3
Chandrapur,11/3/11,Car,83,2011Q3
Chandrapur,11/5/11,Car,59,2011Q3
Chandrapur,11/7/11,Car,38,2011Q3
Chandrapur,11/9/11,Car,35,2011Q3
Chandrapur,11/11/11,Car,95,2011Q3
Chandrapur,11/13/11,Car,94,2011Q3
Chandrapur,11/15/11,Car,50,2011Q3
Chandrapur,11/17/11,Car,1,2011Q3
Chandrapur,11/19/11,Car,2,2011Q3
Chandrapur,11/21/11,Car,98,2011Q3
Chandrapur,11/23/11,Car,31,2011Q3
Chandrapur,11/25/11,Car,3,2011Q3
Chandrapur,11/27/11,Car,83,2011Q3
Chandrapur,11/29/11,Car,39,2011Q3
Chandrapur,10/2/11,Home,24,2011Q3
Chandrapur,10/3/11,Home,22,2011Q3
Chandrapur,10/4/11,Home,72,2011Q3
Chandrapur,10/5/11,Home,64,2011Q3
Chandrapur,10/6/11,Home,73,2011Q3
Chandrapur,10/7/11,Home,56,2011Q3
Chandrapur,10/8/11,Home,47,2011Q3
Chandrapur,10/9/11,Home,7,2011Q3
Chandrapur,10/10/11,Home,13,2011Q3
Chandrapur,10/11/11,Home,49,2011Q3
Chandrapur,10/12/11,Home,82,2011Q3
Chandrapur,10/13/11,Home,80,2011Q3
Chandrapur,10/14/11,Home,82,2011Q3
Chandrapur,10/15/11,Home,36,2011Q3
Chandrapur,10/16/11,Home,53,2011Q3
Chandrapur,11/1/11,Home,79,2011Q3
Chandrapur,11/3/11,Home,23,2011Q3
Chandrapur,11/5/11,Home,65,2011Q3
Chandrapur,11/7/11,Home,76,2011Q3
Chandrapur,11/9/11,Home,100,2011Q3
Chandrapur,11/11/11,Home,71,2011Q3
Chandrapur,11/13/11,Home,4,2011Q3
Chandrapur,11/15/11,Home,85,2011Q3
Chandrapur,11/17/11,Home,27,2011Q3
Chandrapur,11/19/11,Home,32,2011Q3
Chandrapur,11/21/11,Home,27,2011Q3
Chandrapur,11/23/11,Home,15,2011Q3
Chandrapur,11/25/11,Home,48,2011Q3
Chandrapur,11/27/11,Home,26,2011Q3
Chandrapur,11/29/11,Home,20,2011Q3
Bhandara,10/2/11,Car,32,2011Q3
Bhandara,10/3/11,Car,20,2011Q3
Bhandara,10/4/11,Car,49,2011Q3
Bhandara,10/5/11,Car,23,2011Q3
Bhandara,10/6/11,Car,12,2011Q3
Bhandara,10/7/11,Car,63,2011Q3
Bhandara,10/8/11,Car,64,2011Q3
Bhandara,10/9/11,Car,34,2011Q3
Bhandara,10/10/11,Car,54,2011Q3
Bhandara,10/11/11,Car,32,2011Q3
Bhandara,10/12/11,Car,16,2011Q3
Bhandara,10/13/11,Car,49,2011Q3
Bhandara,10/14/11,Car,93,2011Q3
Bhandara,10/15/11,Car,13,2011Q3
Bhandara,10/16/11,Car,7,2011Q3
Bhandara,11/1/11,Car,33,2011Q3
Bhandara,11/3/11,Car,35,2011Q3
Bhandara,11/5/11,Car,82,2011Q3
Bhandara,11/7/11,Car,37,2011Q3
Bhandara,11/9/11,Car,82,2011Q3
Bhandara,11/11/11,Car,55,2011Q3
Bhandara,11/13/11,Car,10,2011Q3
Bhandara,11/15/11,Car,12,2011Q3
Bhandara,11/17/11,Car,66,2011Q3
Bhandara,11/19/11,Car,83,2011Q3
Bhandara,11/21/11,Car,71,2011Q3
Bhandara,11/23/11,Car,41,2011Q3
Bhandara,11/25/11,Car,81,2011Q3
Bhandara,11/27/11,Car,30,2011Q3
Bhandara,11/29/11,Car,45,2011Q3
Bhandara,10/2/11,Home,58,2011Q3
Bhandara,10/3/11,Home,35,2011Q3
Bhandara,10/4/11,Home,48,2011Q3
Bhandara,10/5/11,Home,69,2011Q3
Bhandara,10/6/11,Home,22,2011Q3
Bhandara,10/7/11,Home,57,2011Q3
Bhandara,10/8/11,Home,32,2011Q3
Bhandara,10/9/11,Home,97,2011Q3
Bhandara,10/10/11,Home,94,2011Q3
Bhandara,10/11/11,Home,66,2011Q3
Bhandara,10/12/11,Home,45,2011Q3
Bhandara,10/13/11,Home,73,2011Q3
Bhandara,10/14/11,Home,49,2011Q3
Bhandara,10/15/11,Home,27,2011Q3
Bhandara,10/16/11,Home,13,2011Q3
Bhandara,11/1/11,Home,17,2011Q3
Bhandara,11/3/11,Home,83,2011Q3
Bhandara,11/5/11,Home,78,2011Q3
Bhandara,11/7/11,Home,51,2011Q3
Bhandara,11/9/11,Home,70,2011Q3
Bhandara,11/11/11,Home,23,2011Q3
Bhandara,11/13/11,Home,49,2011Q3
Bhandara,11/15/11,Home,94,2011Q3
Bhandara,11/17/11,Home,5,2011Q3
Bhandara,11/19/11,Home,81,2011Q3
Bhandara,11/21/11,Home,21,2011Q3
Bhandara,11/23/11,Home,92,2011Q3
Bhandara,11/25/11,Home,62,2011Q3
Bhandara,11/27/11,Home,10,2011Q3
Bhandara,11/29/11,Home,83,2011Q3
Gadchiroli,10/2/11,Car,34,2011Q3
Gadchiroli,10/3/11,Car,42,2011Q3
Gadchiroli,10/4/11,Car,13,2011Q3
Gadchiroli,10/5/11,Car,26,2011Q3
Gadchiroli,10/6/11,Car,94,2011Q3
Gadchiroli,10/7/11,Car,49,2011Q3
Gadchiroli,10/8/11,Car,92,2011Q3
Gadchiroli,10/9/11,Car,90,2011Q3
Gadchiroli,10/10/11,Car,35,2011Q3
Gadchiroli,10/11/11,Car,71,2011Q3
Gadchiroli,10/12/11,Car,7,2011Q3
Gadchiroli,10/13/11,Car,20,2011Q3
Gadchiroli,10/14/11,Car,74,2011Q3
Gadchiroli,10/15/11,Car,34,2011Q3
Gadchiroli,10/16/11,Car,29,2011Q3
Gadchiroli,11/1/11,Car,66,2011Q3
Gadchiroli,11/3/11,Car,61,2011Q3
Gadchiroli,11/5/11,Car,84,2011Q3
Gadchiroli,11/7/11,Car,23,2011Q3
Gadchiroli,11/9/11,Car,71,2011Q3
Gadchiroli,11/11/11,Car,31,2011Q3
Gadchiroli,11/13/11,Car,79,2011Q3
Gadchiroli,11/15/11,Car,80,2011Q3
Gadchiroli,11/17/11,Car,19,2011Q3
Gadchiroli,11/19/11,Car,78,2011Q3
Gadchiroli,11/21/11,Car,69,2011Q3
Gadchiroli,11/23/11,Car,27,2011Q3
Gadchiroli,11/25/11,Car,2,2011Q3
Gadchiroli,11/27/11,Car,1,2011Q3
Gadchiroli,11/29/11,Car,36,2011Q3
Gadchiroli,10/2/11,Home,32,2011Q3
Gadchiroli,10/3/11,Home,58,2011Q3
Gadchiroli,10/4/11,Home,47,2011Q3
Gadchiroli,10/5/11,Home,68,2011Q3
Gadchiroli,10/6/11,Home,53,2011Q3
Gadchiroli,10/7/11,Home,5,2011Q3
Gadchiroli,10/8/11,Home,38,2011Q3
Gadchiroli,10/9/11,Home,58,2011Q3
Gadchiroli,10/10/11,Home,89,2011Q3
Gadchiroli,10/11/11,Home,49,2011Q3
Gadchiroli,10/12/11,Home,71,2011Q3
Gadchiroli,10/13/11,Home,90,2011Q3
Gadchiroli,10/14/11,Home,16,2011Q3
Gadchiroli,10/15/11,Home,66,2011Q3
Gadchiroli,10/16/11,Home,35,2011Q3
Gadchiroli,11/1/11,Home,45,2011Q3
Gadchiroli,11/3/11,Home,19,2011Q3
Gadchiroli,11/5/11,Home,97,2011Q3
Gadchiroli,11/7/11,Home,80,2011Q3
Gadchiroli,11/9/11,Home,84,2011Q3
Gadchiroli,11/11/11,Home,32,2011Q3
Gadchiroli,11/13/11,Home,68,2011Q3
Gadchiroli,11/15/11,Home,93,2011Q3
Gadchiroli,11/17/11,Home,9,2011Q3
Gadchiroli,11/19/11,Home,39,2011Q3
Gadchiroli,11/21/11,Home,54,2011Q3
Gadchiroli,11/23/11,Home,83,2011Q3
Gadchiroli,11/25/11,Home,7,2011Q3
Gadchiroli,11/27/11,Home,43,2011Q3
Gadchiroli,11/29/11,Home,42,2011Q3
Yavatmal,10/2/11,Car,49,2011Q3
Yavatmal,10/3/11,Car,72,2011Q3
Yavatmal,10/4/11,Car,49,2011Q3
Yavatmal,10/5/11,Car,44,2011Q3
Yavatmal,10/6/11,Car,35,2011Q3
Yavatmal,10/7/11,Car,55,2011Q3
Yavatmal,10/8/11,Car,73,2011Q3
Yavatmal,10/9/11,Car,16,2011Q3
Yavatmal,10/10/11,Car,25,2011Q3
Yavatmal,10/11/11,Car,76,2011Q3
Yavatmal,10/12/11,Car,8,2011Q3
Yavatmal,10/13/11,Car,21,2011Q3
Yavatmal,10/14/11,Car,70,2011Q3
Yavatmal,10/15/11,Car,62,2011Q3
Yavatmal,10/16/11,Car,45,2011Q3
Yavatmal,11/1/11,Car,45,2011Q3
Yavatmal,11/3/11,Car,2,2011Q3
Yavatmal,11/5/11,Car,8,2011Q3
Yavatmal,11/7/11,Car,91,2011Q3
Yavatmal,11/9/11,Car,76,2011Q3
Yavatmal,11/11/11,Car,96,2011Q3
Yavatmal,11/13/11,Car,6,2011Q3
Yavatmal,11/15/11,Car,99,2011Q3
Yavatmal,11/17/11,Car,92,2011Q3
Yavatmal,11/19/11,Car,78,2011Q3
Yavatmal,11/21/11,Car,66,2011Q3
Yavatmal,11/23/11,Car,5,2011Q3
Yavatmal,11/25/11,Car,38,2011Q3
Yavatmal,11/27/11,Car,12,2011Q3
Yavatmal,11/29/11,Car,1,2011Q3
Yavatmal,10/2/11,Home,81,2011Q3
Yavatmal,10/3/11,Home,89,2011Q3
Yavatmal,10/4/11,Home,76,2011Q3
Yavatmal,10/5/11,Home,74,2011Q3
Yavatmal,10/6/11,Home,84,2011Q3
Yavatmal,10/7/11,Home,31,2011Q3
Yavatmal,10/8/11,Home,39,2011Q3
Yavatmal,10/9/11,Home,76,2011Q3
Yavatmal,10/10/11,Home,48,2011Q3
Yavatmal,10/11/11,Home,92,2011Q3
Yavatmal,10/12/11,Home,85,2011Q3
Yavatmal,10/13/11,Home,77,2011Q3
Yavatmal,10/14/11,Home,48,2011Q3
Yavatmal,10/15/11,Home,10,2011Q3
Yavatmal,10/16/11,Home,46,2011Q3
Yavatmal,11/1/11,Home,74,2011Q3
Yavatmal,11/3/11,Home,78,2011Q3
Yavatmal,11/5/11,Home,48,2011Q3
Yavatmal,11/7/11,Home,27,2011Q3
Yavatmal,11/9/11,Home,62,2011Q3
Yavatmal,11/11/11,Home,58,2011Q3
Yavatmal,11/13/11,Home,31,2011Q3
Yavatmal,11/15/11,Home,81,2011Q3
Yavatmal,11/17/11,Home,74,2011Q3
Yavatmal,11/19/11,Home,38,2011Q3
Yavatmal,11/21/11,Home,22,2011Q3
Yavatmal,11/23/11,Home,99,2011Q3
Yavatmal,11/25/11,Home,99,2011Q3
Yavatmal,11/27/11,Home,35,2011Q3
Yavatmal,11/29/11,Home,77,2011Q3
Nagpur,12/14/11,Car,15,2011Q4
Nagpur,12/15/11,Car,21,2011Q4
Nagpur,12/16/11,Car,22,2011Q4
Nagpur,12/17/11,Car,30,2011Q4
Nagpur,12/18/11,Car,32,2011Q4
Nagpur,12/19/11,Car,28,2011Q4
Nagpur,12/20/11,Car,34,2011Q4
Nagpur,12/21/11,Car,40,2011Q4
Nagpur,12/22/11,Car,20,2011Q4
Nagpur,12/23/11,Car,25,2011Q4
Nagpur,12/24/11,Car,23,2011Q4
Nagpur,12/25/11,Car,13,2011Q4
Nagpur,12/26/11,Car,29,2011Q4
Nagpur,12/27/11,Car,50,2011Q4
Nagpur,12/28/11,Car,55,2011Q4
Nagpur,12/14/11,Home,15,2011Q4
Nagpur,12/15/11,Home,5,2011Q4
Nagpur,12/16/11,Home,18,2011Q4
Nagpur,12/17/11,Home,33,2011Q4
Nagpur,12/18/11,Home,67,2011Q4
Nagpur,12/19/11,Home,34,2011Q4
Nagpur,12/20/11,Home,18,2011Q4
Nagpur,12/21/11,Home,15,2011Q4
Nagpur,12/22/11,Home,21,2011Q4
Nagpur,12/23/11,Home,22,2011Q4
Nagpur,12/24/11,Home,30,2011Q4
Nagpur,12/25/11,Home,32,2011Q4
Nagpur,12/26/11,Home,28,2011Q4
Nagpur,12/27/11,Home,34,2011Q4
Nagpur,12/28/11,Home,53,2011Q4
Wardha,12/14/11,Car,90,2011Q4
Wardha,12/15/11,Car,18,2011Q4
Wardha,12/16/11,Car,69,2011Q4
Wardha,12/17/11,Car,29,2011Q4
Wardha,12/18/11,Car,83,2011Q4
Wardha,12/19/11,Car,31,2011Q4
Wardha,12/20/11,Car,18,2011Q4
Wardha,12/21/11,Car,57,2011Q4
Wardha,12/22/11,Car,1,2011Q4
Wardha,12/23/11,Car,24,2011Q4
Wardha,12/24/11,Car,47,2011Q4
Wardha,12/25/11,Car,44,2011Q4
Wardha,12/26/11,Car,3,2011Q4
Wardha,12/27/11,Car,80,2011Q4
Wardha,12/28/11,Car,91,2011Q4
Wardha,12/14/11,Home,12,2011Q4
Wardha,12/15/11,Home,38,2011Q4
Wardha,12/16/11,Home,91,2011Q4
Wardha,12/17/11,Home,86,2011Q4
Wardha,12/18/11,Home,72,2011Q4
Wardha,12/19/11,Home,100,2011Q4
Wardha,12/20/11,Home,62,2011Q4
Wardha,12/21/11,Home,89,2011Q4
Wardha,12/22/11,Home,75,2011Q4
Wardha,12/23/11,Home,38,2011Q4
Wardha,12/24/11,Home,25,2011Q4
Wardha,12/25/11,Home,3,2011Q4
Wardha,12/26/11,Home,37,2011Q4
Wardha,12/27/11,Home,80,2011Q4
Wardha,12/28/11,Home,28,2011Q4
Chandrapur,12/14/11,Car,12,2011Q4
Chandrapur,12/15/11,Car,28,2011Q4
Chandrapur,12/16/11,Car,76,2011Q4
Chandrapur,12/17/11,Car,34,2011Q4
Chandrapur,12/18/11,Car,58,2011Q4
Chandrapur,12/19/11,Car,55,2011Q4
Chandrapur,12/20/11,Car,66,2011Q4
Chandrapur,12/21/11,Car,60,2011Q4
Chandrapur,12/22/11,Car,21,2011Q4
Chandrapur,12/23/11,Car,34,2011Q4
Chandrapur,12/24/11,Car,49,2011Q4
Chandrapur,12/25/11,Car,15,2011Q4
Chandrapur,12/26/11,Car,18,2011Q4
Chandrapur,12/27/11,Car,27,2011Q4
Chandrapur,12/28/11,Car,54,2011Q4
Chandrapur,12/14/11,Home,81,2011Q4
Chandrapur,12/15/11,Home,55,2011Q4
Chandrapur,12/16/11,Home,30,2011Q4
Chandrapur,12/17/11,Home,48,2011Q4
Chandrapur,12/18/11,Home,60,2011Q4
Chandrapur,12/19/11,Home,90,2011Q4
Chandrapur,12/20/11,Home,16,2011Q4
Chandrapur,12/21/11,Home,28,2011Q4
Chandrapur,12/22/11,Home,51,2011Q4
Chandrapur,12/23/11,Home,99,2011Q4
Chandrapur,12/24/11,Home,68,2011Q4
Chandrapur,12/25/11,Home,41,2011Q4
Chandrapur,12/26/11,Home,84,2011Q4
Chandrapur,12/27/11,Home,98,2011Q4
Chandrapur,12/28/11,Home,97,2011Q4
Bhandara,12/14/11,Car,92,2011Q4
Bhandara,12/15/11,Car,71,2011Q4
Bhandara,12/16/11,Car,29,2011Q4
Bhandara,12/17/11,Car,45,2011Q4
Bhandara,12/18/11,Car,47,2011Q4
Bhandara,12/19/11,Car,72,2011Q4
Bhandara,12/20/11,Car,65,2011Q4
Bhandara,12/21/11,Car,10,2011Q4
Bhandara,12/22/11,Car,89,2011Q4
Bhandara,12/23/11,Car,48,2011Q4
Bhandara,12/24/11,Car,90,2011Q4
Bhandara,12/25/11,Car,17,2011Q4
Bhandara,12/26/11,Car,20,2011Q4
Bhandara,12/27/11,Car,60,2011Q4
Bhandara,12/28/11,Car,94,2011Q4
Bhandara,12/14/11,Home,45,2011Q4
Bhandara,12/15/11,Home,25,2011Q4
Bhandara,12/16/11,Home,75,2011Q4
Bhandara,12/17/11,Home,59,2011Q4
Bhandara,12/18/11,Home,52,2011Q4
Bhandara,12/19/11,Home,33,2011Q4
Bhandara,12/20/11,Home,67,2011Q4
Bhandara,12/21/11,Home,66,2011Q4
Bhandara,12/22/11,Home,54,2011Q4
Bhandara,12/23/11,Home,93,2011Q4
Bhandara,12/24/11,Home,85,2011Q4
Bhandara,12/25/11,Home,4,2011Q4
Bhandara,12/26/11,Home,19,2011Q4
Bhandara,12/27/11,Home,76,2011Q4
Bhandara,12/28/11,Home,83,2011Q4
Gadchiroli,12/14/11,Car,19,2011Q4
Gadchiroli,12/15/11,Car,38,2011Q4
Gadchiroli,12/16/11,Car,100,2011Q4
Gadchiroli,12/17/11,Car,17,2011Q4
Gadchiroli,12/18/11,Car,61,2011Q4
Gadchiroli,12/19/11,Car,4,2011Q4
Gadchiroli,12/20/11,Car,83,2011Q4
Gadchiroli,12/21/11,Car,100,2011Q4
Gadchiroli,12/22/11,Car,67,2011Q4
Gadchiroli,12/23/11,Car,92,2011Q4
Gadchiroli,12/24/11,Car,37,2011Q4
Gadchiroli,12/25/11,Car,98,2011Q4
Gadchiroli,12/26/11,Car,44,2011Q4
Gadchiroli,12/27/11,Car,89,2011Q4
Gadchiroli,12/28/11,Car,30,2011Q4
Gadchiroli,12/14/11,Home,54,2011Q4
Gadchiroli,12/15/11,Home,40,2011Q4
Gadchiroli,12/16/11,Home,74,2011Q4
Gadchiroli,12/17/11,Home,24,2011Q4
Gadchiroli,12/18/11,Home,93,2011Q4
Gadchiroli,12/19/11,Home,25,2011Q4
Gadchiroli,12/20/11,Home,27,2011Q4
Gadchiroli,12/21/11,Home,28,2011Q4
Gadchiroli,12/22/11,Home,41,2011Q4
Gadchiroli,12/23/11,Home,42,2011Q4
Gadchiroli,12/24/11,Home,96,2011Q4
Gadchiroli,12/25/11,Home,76,2011Q4
Gadchiroli,12/26/11,Home,25,2011Q4
Gadchiroli,12/27/11,Home,7,2011Q4
Gadchiroli,12/28/11,Home,55,2011Q4
Yavatmal,12/14/11,Car,19,2011Q4
Yavatmal,12/15/11,Car,56,2011Q4
Yavatmal,12/16/11,Car,24,2011Q4
Yavatmal,12/17/11,Car,29,2011Q4
Yavatmal,12/18/11,Car,66,2011Q4
Yavatmal,12/19/11,Car,73,2011Q4
Yavatmal,12/20/11,Car,9,2011Q4
Yavatmal,12/21/11,Car,43,2011Q4
Yavatmal,12/22/11,Car,15,2011Q4
Yavatmal,12/23/11,Car,96,2011Q4
Yavatmal,12/24/11,Car,78,2011Q4
Yavatmal,12/25/11,Car,81,2011Q4
Yavatmal,12/26/11,Car,54,2011Q4
Yavatmal,12/27/11,Car,15,2011Q4
Yavatmal,12/28/11,Car,62,2011Q4
Yavatmal,12/14/11,Home,70,2011Q4
Yavatmal,12/15/11,Home,26,2011Q4
Yavatmal,12/16/11,Home,91,2011Q4
Yavatmal,12/17/11,Home,95,2011Q4
Yavatmal,12/18/11,Home,23,2011Q4
Yavatmal,12/19/11,Home,90,2011Q4
Yavatmal,12/20/11,Home,17,2011Q4
Yavatmal,12/21/11,Home,98,2011Q4
Yavatmal,12/22/11,Home,56,2011Q4
Yavatmal,12/23/11,Home,7,2011Q4
Yavatmal,12/24/11,Home,71,2011Q4
Yavatmal,12/25/11,Home,43,2011Q4
Yavatmal,12/26/11,Home,58,2011Q4
Yavatmal,12/27/11,Home,75,2011Q4
Yavatmal,12/28/11,Home,88,2011Q4
Nagpur,1/1/12,Car,25,2012Q1
Nagpur,1/2/12,Car,18,2012Q1
Nagpur,1/3/12,Car,15,2012Q1
Nagpur,1/4/12,Car,21,2012Q1
Nagpur,1/5/12,Car,22,2012Q1
Nagpur,1/6/12,Car,30,2012Q1
Nagpur,1/7/12,Car,19,2012Q1
Nagpur,1/8/12,Car,29,2012Q1
Nagpur,1/9/12,Car,19,2012Q1
Nagpur,1/10/12,Car,7,2012Q1
Nagpur,1/11/12,Car,10,2012Q1
Nagpur,1/12/12,Car,13,2012Q1
Nagpur,1/13/12,Car,12,2012Q1
Nagpur,1/14/12,Car,18,2012Q1
Nagpur,1/15/12,Car,25,2012Q1
Nagpur,2/3/12,Car,7,2012Q1
Nagpur,2/5/12,Car,25,2012Q1
Nagpur,2/7/12,Car,18,2012Q1
Nagpur,2/9/12,Car,15,2012Q1
Nagpur,2/11/12,Car,21,2012Q1
Nagpur,2/13/12,Car,22,2012Q1
Nagpur,2/15/12,Car,30,2012Q1
Nagpur,2/17/12,Car,32,2012Q1
Nagpur,2/19/12,Car,28,2012Q1
Nagpur,2/21/12,Car,34,2012Q1
Nagpur,2/23/12,Car,40,2012Q1
Nagpur,2/24/12,Car,20,2012Q1
Nagpur,2/25/12,Car,25,2012Q1
Nagpur,2/26/12,Car,23,2012Q1
Nagpur,2/27/12,Car,13,2012Q1
Nagpur,3/5/12,Car,18,2012Q1
Nagpur,3/6/12,Car,17,2012Q1
Nagpur,3/7/12,Car,19,2012Q1
Nagpur,3/8/12,Car,23,2012Q1
Nagpur,3/9/12,Car,20,2012Q1
Nagpur,3/10/12,Car,25,2012Q1
Nagpur,3/19/12,Car,23,2012Q1
Nagpur,3/20/12,Car,45,2012Q1
Nagpur,3/21/12,Car,100,2012Q1
Nagpur,3/22/12,Car,29,2012Q1
Nagpur,3/23/12,Car,19,2012Q1
Nagpur,3/24/12,Car,7,2012Q1
Nagpur,3/25/12,Car,10,2012Q1
Nagpur,3/26/12,Car,13,2012Q1
Nagpur,3/31/12,Car,12,2012Q1
Nagpur,1/1/12,Home,30,2012Q1
Nagpur,1/2/12,Home,12,2012Q1
Nagpur,1/3/12,Home,14,2012Q1
Nagpur,1/4/12,Home,11,2012Q1
Nagpur,1/5/12,Home,14,2012Q1
Nagpur,1/6/12,Home,12,2012Q1
Nagpur,1/7/12,Home,15,2012Q1
Nagpur,1/8/12,Home,19,2012Q1
Nagpur,1/9/12,Home,21,2012Q1
Nagpur,1/10/12,Home,54,2012Q1
Nagpur,1/11/12,Home,33,2012Q1
Nagpur,1/12/12,Home,20,2012Q1
