CUSTOMER_NAME,INVOICE_TO_ADDRESS1,INVOICE_TO_ADDRESS2,INVOICE_TO_ADDRESS3,INVOICE_TO_ADDRESS4,CITY,LAT,LON,State/Region,Zip/Postal Code,Country,CUSTOMER_NUMBER,ORDER_NUMBER,ORDER_BOOKED_DATE,ORDER_TYPE,LINE_TYPE,LINE_NUMBER,ORDERED_ITEM,ORDERED_QUANTITY,LINE_CREATION_DATE,UNIT_SELLING_PRICE,TOTAL_AMOUNT,SF_OPPORTUNITY#,ORDER_BOOKED_YEAR,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10226,3/31/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,300,3/31/12,70,"21,000",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10226,3/31/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,2,BAT-1125,250,3/31/12,7,"1,750",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10239,4/10/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,500,4/10/12,70,"35,000",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10239,4/10/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,2,BAT-1125,24,4/10/12,7,168,,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10242,4/19/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,500,4/19/12,70,"35,000",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10257,5/3/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,2,ST-654-001,250,5/3/12,70,"17,500",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10335,6/29/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,SCT-KIT-B-101,4,6/29/12,"1,488","5,952",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10338,6/29/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,500,6/29/12,70,"35,000",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10381,8/1/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,500,8/1/12,70,"35,000",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10392,8/23/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,500,8/23/12,70,"35,000",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10416,9/5/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,BAT-1125,600,9/5/12,7,"4,200",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10484,9/29/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,SCT-KIT-B-101,1,9/29/12,"1,488","1,488",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10504,10/12/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,STA-1030,3,10/12/12,182,546,,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10507,10/19/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,250,10/19/12,70,"17,500",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10507,10/19/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,2,SCT-KIT-B-101,2,10/19/12,"1,488","2,976",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10541,11/16/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,100,11/16/12,70,"7,000",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10563,12/11/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,500,12/11/12,70,"35,000",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10569,12/14/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,BAT-1125,60,12/14/12,7,420,,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10596,1/3/11,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,BAT-1125,600,1/3/11,7,"4,200",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10612,1/25/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,500,1/25/11,70,"35,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10612,1/25/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,2,BAT-1125,100,1/25/11,7,700,,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10616,1/26/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,BAT-1125,500,1/26/11,7,"3,500",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10617,1/26/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,BAT-1125,500,1/26/11,7,"3,500",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10617,1/26/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,2,ST-654-001,500,1/26/11,70,"35,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10629,2/7/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,SDSA-654-01,2,2/7/11,77,154,,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10674,3/21/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,BAT-1125,500,3/21/11,7,"3,500",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10674,3/21/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,2,ST-654-001,500,3/21/11,70,"35,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10731,4/5/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,500,4/5/11,70,"35,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10767,5/7/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,500,5/7/11,70,"35,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10768,5/7/11,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,500,5/7/11,70,"35,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10813,7/9/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,500,7/9/11,70,"35,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10815,7/18/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,BAT-1120,50,7/18/11,6,300,,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10815,7/18/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,2,BAT-1125,150,7/18/11,7,"1,050",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10835,7/25/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,100,7/25/11,70,"7,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10843,8/2/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,500,8/2/11,70,"35,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10861,8/9/11,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,500,8/9/11,70,"35,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10910,9/11/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,500,9/11/11,70,"35,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10958,10/11/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,"1,000",10/11/11,70,"70,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10964,10/15/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,"1,000",10/15/11,70,"70,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10981,11/7/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,250,11/7/11,70,"17,500",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11091,12/28/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,200,12/28/11,70,"14,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11099,1/30/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,SCT-KIT-B-101,1,1/30/11,"1,488","1,488",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11099,1/30/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,2,ST-654-001,"1,500",1/30/11,70,"105,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11108,1/30/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,BAT-1125,500,1/30/11,7,"3,500",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11157,2/11/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,500,2/11/11,70,"35,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11179,2/28/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,BAT-1125,250,2/28/11,7,"1,750",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11253,5/15/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,STA-1030,2,5/15/11,75,150,,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11253,5/15/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,2,BAT-1125,250,5/15/11,7,"1,750",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11263,5/16/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,500,5/16/11,70,"35,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11294,5/29/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,100,5/29/11,70,"7,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11342,6/26/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,SDSA-654-01,1,6/26/11,77,77,"0003031 / DELL Corp., 09-3637-5796",2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11396,8/11/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,BAT-1125,500,8/11/11,7,"3,500",0003116 / DELL Corp. 12-3638-1309,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11397,8/11/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,500,8/11/11,70,"35,000",0003117 / DELL Corp. 94-3638-1505,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11409,8/15/11,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,STA-1030,6,8/15/11,182,"1,092",0003128 / DELL Corp. 94-3638-2364,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11503,10/17/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,"1,300",10/17/11,70,"91,000",,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11509,10/23/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,STA-1030,4,10/23/11,182,728,0003265 / DELL Corp. 1236389700 Hardware,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11509,10/23/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,2,ST-654-001,"2,500",10/23/11,70,"175,000",0003265 / DELL Corp. 1236389700 Hardware,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11509,10/23/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,3,BAT-1125,500,10/23/11,7,"3,500",0003265 / DELL Corp. 1236389700 Hardware,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,11510,10/23/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,ST-654-001,100,10/23/11,70,"7,000",0003266 / DELL Corp. 6236389784 Hardware,2011,,
