"cocd","material","billT","qty","customer","profitctr","costctr","refdocno","inccc","crcy","inpclc","curr","account","postgdate","tc","intc"
"IN01","BDA24192-XE","F2",1,1145516,"ACS",,9521083384,1,"INR",1,"USD",41011000,1/18/2013,"INR",1.00
"IN01","BDA24192-XE","F2",1,1115450,"ACS",,9521083563,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","PEH01-JP","F2",1,1113472,"ACS",,9521083622,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","PB01-JP","F2",1,1118875,"ACS",,9521083657,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","PCU01-JP","F2",1,1118875,"ACS",,9521083657,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","PEH01-JP","F2",1,1118875,"ACS",,9521083657,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","PRB01-JP","F2",1,1118875,"ACS",,9521083657,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","PRL01-JP","F2",1,1118875,"ACS",,9521083657,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","PAN01-JP","F2",1,1118875,"ACS",,9521083657,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","BDA24192-XE","F2",1,1113137,"ACS",,9521083658,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","BDA24192-XE","F2",1,1160958,"ACS",,9521083666,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","BDA1000-XE","F2",1,1126197,"ACS",,9521083771,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","PB01-JP","F2",1,1160935,"ACS",,9521083827,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","A7073-TW","F2",1,1113135,"ACS",,9522004742,1,"INR",1,"USD",41011000,1/21/2013,"INR",1.00
"IN01","A7073-TW","F2",1,1120313,"ACS",,9522308995,1,"INR",1,"USD",41011000,1/19/2013,"INR",1.00
"IN01","PCU01-JP","F2",1,1113359,"ACS",,9522309038,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","PAN01-JP","F2",1,1113359,"ACS",,9522309038,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","PFB01-JP","F2",1,1113359,"ACS",,9522309038,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","A7073-TW","F2",1,1121400,"ACS",,9522601569,1,"INR",1,"USD",41011000,1/15/2013,"INR",1.00
"IN01","DW4547-IN","S1",1,1160958,"ADW",,9301288513,1,"INR",1,"USD",41011000,1/4/2013,"INR",1.00
"IN01","DWA8011R","S1",1,1113415,"ADW",,9301301273,1,"INR",1,"USD",41011000,1/10/2013,"INR",1.00
"IN01","DT9765-QZ","S1",1,1165661,"ADW",,9301304569,1,"INR",1,"USD",41011000,1/21/2013,"INR",1.00
"IN01","DT9769-QZ","S1",1,1165661,"ADW",,9301304569,1,"INR",1,"USD",41011000,1/21/2013,"INR",1.00
"IN01","DW4547-IN","F2",1,1160958,"ADW",,9521082892,1,"INR",1,"USD",41011000,1/4/2013,"INR",1.00
"IN01","DW8500","F2",1,1113076,"ADW",,9521082902,1,"INR",1,"USD",41011000,1/4/2013,"INR",1.00
"IN01","DW4547-IN","F2",1,1160958,"ADW",,9521082912,1,"INR",1,"USD",41011000,1/4/2013,"INR",1.00
"IN01","DT8087-QZ","F2",1,1113329,"ADW",,9521082919,1,"INR",1,"USD",41011000,1/4/2013,"INR",1.00
"IN01","DT6823-QZ","F2",1,1113329,"ADW",,9521082919,1,"INR",1,"USD",41011000,1/4/2013,"INR",1.00
"IN01","DWA4520F","F2",1,1144994,"ADW",,9521082974,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DT9514-QZ","F2",1,1113429,"ADW",,9521082975,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DT9417-QZ","F2",1,1113429,"ADW",,9521082977,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DT9430-QZ","F2",1,1113429,"ADW",,9521082977,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DT9438-QZ","F2",1,1113429,"ADW",,9521082977,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DT9445-QZ","F2",1,1113429,"ADW",,9521082977,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DT9504-QZ","F2",1,1113429,"ADW",,9521082977,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DT9514-QZ","F2",1,1113429,"ADW",,9521082977,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DT9519-QZ","F2",1,1113429,"ADW",,9521082977,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DT9528-QZ","F2",1,1113429,"ADW",,9521082977,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DWA4520F","F2",1,1113429,"ADW",,9521082980,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DWA8052","F2",1,1113429,"ADW",,9521082980,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DT4062-B1","F2",1,1113429,"ADW",,9521082980,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DW03210-IN","F2",1,1113429,"ADW",,9521082980,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DW03220-IN","F2",1,1113429,"ADW",,9521082980,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DW03230-IN","F2",1,1113429,"ADW",,9521082980,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DW03240-IN","F2",1,1113429,"ADW",,9521082980,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DT9436-QZ","F2",1,1113429,"ADW",,9521082980,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DWA8052","F2",1,1121651,"ADW",,9521082984,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1145011,"ADW",,9521083057,1,"INR",1,"USD",41011000,1/9/2013,"INR",1.00
"IN01","DT9598-QZ","F2",1,1113073,"ADW",,9521083082,1,"INR",1,"USD",41011000,1/10/2013,"INR",1.00
"IN01","DWA4500","F2",1,1164653,"ADW",,9521083084,1,"INR",1,"USD",41011000,1/10/2013,"INR",1.00
"IN01","DW4543","F2",1,1164653,"ADW",,9521083084,1,"INR",1,"USD",41011000,1/10/2013,"INR",1.00
"IN01","DW4547-IN","F2",1,1164653,"ADW",,9521083084,1,"INR",1,"USD",41011000,1/10/2013,"INR",1.00
"IN01","DWA8011-IN","F2",1,1164653,"ADW",,9521083084,1,"INR",1,"USD",41011000,1/10/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1113415,"ADW",,9521083096,1,"INR",1,"USD",41011000,1/10/2013,"INR",1.00
"IN01","DWA4524F","F2",1,1117750,"ADW",,9521083113,1,"INR",1,"USD",41011000,1/11/2013,"INR",1.00
"IN01","DT6802-QZ","F2",1,1113035,"ADW",,9521083165,1,"INR",1,"USD",41011000,1/12/2013,"INR",1.00
"IN01","DT6940-QZ","F2",1,1115450,"ADW",,9521083166,1,"INR",1,"USD",41011000,1/12/2013,"INR",1.00
"IN01","DT9554-QZ","F2",1,1113073,"ADW",,9521083168,1,"INR",1,"USD",41011000,1/12/2013,"INR",1.00
"IN01","DW00720-B1","F2",1,1120172,"ADW",,9521083197,1,"INR",1,"USD",41011000,1/14/2013,"INR",1.00
"IN01","DW00726-B1","F2",1,1120172,"ADW",,9521083197,1,"INR",1,"USD",41011000,1/14/2013,"INR",1.00
"IN01","DT6802-QZ","F2",1,1113230,"ADW",,9521083232,1,"INR",1,"USD",41011000,1/15/2013,"INR",1.00
"IN01","DWA4520F","F2",1,1113044,"ADW",,9521083246,1,"INR",1,"USD",41011000,1/15/2013,"INR",1.00
"IN01","DW44560","F2",1,1113076,"ADW",,9521083276,1,"INR",1,"USD",41011000,1/16/2013,"INR",1.00
"IN01","DW4547","F2",1,1113076,"ADW",,9521083276,1,"INR",1,"USD",41011000,1/16/2013,"INR",1.00
"IN01","DWA4524F","F2",1,1117750,"ADW",,9521083278,1,"INR",1,"USD",41011000,1/16/2013,"INR",1.00
"IN01","DT6940-QZ","F2",1,1113362,"ADW",,9521083279,1,"INR",1,"USD",41011000,1/16/2013,"INR",1.00
"IN01","DW4547-IN","F2",1,1121605,"ADW",,9521083288,1,"INR",1,"USD",41011000,1/17/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1144994,"ADW",,9521083318,1,"INR",1,"USD",41011000,1/17/2013,"INR",1.00
"IN01","DT6902-B1","F2",1,1151270,"ADW",,9521083349,1,"INR",1,"USD",41011000,1/18/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1113415,"ADW",,9521083353,1,"INR",1,"USD",41011000,1/18/2013,"INR",1.00
"IN01","DT6940-QZ","F2",1,1121274,"ADW",,9521083378,1,"INR",1,"USD",41011000,1/18/2013,"INR",1.00
"IN01","DW4547-IN","F2",1,1121274,"ADW",,9521083378,1,"INR",1,"USD",41011000,1/18/2013,"INR",1.00
"IN01","DT6940-QZ","F2",1,1121274,"ADW",,9521083379,1,"INR",1,"USD",41011000,1/18/2013,"INR",1.00
"IN01","DT6823-QZ","F2",1,1113146,"ADW",,9521083448,1,"INR",1,"USD",41011000,1/19/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1121588,"ADW",,9521083450,1,"INR",1,"USD",41011000,1/19/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1121588,"ADW",,9521083451,1,"INR",1,"USD",41011000,1/19/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1113316,"ADW",,9521083469,1,"INR",1,"USD",41011000,1/19/2013,"INR",1.00
"IN01","DT9765-QZ","F2",1,1165661,"ADW",,9521083506,1,"INR",1,"USD",41011000,1/21/2013,"INR",1.00
"IN01","DT9769-QZ","F2",1,1165661,"ADW",,9521083506,1,"INR",1,"USD",41011000,1/21/2013,"INR",1.00
"IN01","DT9769-QZ","F2",1,1165661,"ADW",,9521083511,1,"INR",1,"USD",41011000,1/21/2013,"INR",1.00
"IN01","DW00712-B1","F2",1,1113035,"ADW",,9521083520,1,"INR",1,"USD",41011000,1/21/2013,"INR",1.00
"IN01","DW00716-B1","F2",1,1113035,"ADW",,9521083520,1,"INR",1,"USD",41011000,1/21/2013,"INR",1.00
"IN01","DWA4524F","F2",1,1113429,"ADW",,9521083577,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","DT34406","F2",1,1113429,"ADW",,9521083577,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","DT6940-QZ","F2",1,1113429,"ADW",,9521083578,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","DT9580-QZ","F2",1,1113429,"ADW",,9521083579,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","DT8087-QZ","F2",1,1113429,"ADW",,9521083580,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","DT8087-QZ","F2",1,1113429,"ADW",,9521083581,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","DT8087-QZ","F2",1,1113429,"ADW",,9521083582,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1160958,"ADW",,9521083590,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","DT4062-B1","F2",1,1113472,"ADW",,9521083598,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","DWA4524F","F2",1,1113472,"ADW",,9521083598,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","DW03220-IN","F2",1,1113472,"ADW",,9521083598,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","DT9514-QZ","F2",1,1113472,"ADW",,9521083622,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","DT6940-QZ","F2",1,1113472,"ADW",,9521083622,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","DT6943-QZ","F2",1,1113472,"ADW",,9521083622,1,"INR",1,"USD",41011000,1/22/2013,"INR",1.00
"IN01","DW8500","F2",1,1113197,"ADW",,9521083663,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","DW44560","F2",1,1113250,"ADW",,9521083672,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","DW44560","F2",1,1113250,"ADW",,9521083674,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1113164,"ADW",,9521083699,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","DT9422-QZ","F2",1,1117592,"ADW",,9521083703,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","DW4543","F2",1,1113172,"ADW",,9521083705,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","DT34406","F2",1,1113234,"ADW",,9521083708,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1114509,"ADW",,9521083724,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","DW4547","F2",1,1121274,"ADW",,9521083725,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","DW03210-IN","F2",1,1113139,"ADW",,9521083773,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","DW03220-IN","F2",1,1113139,"ADW",,9521083773,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","DWA4524F","F2",1,1113430,"ADW",,9521083785,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DWA4520F","F2",1,1113430,"ADW",,9521083785,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DWA8052","F2",1,1113430,"ADW",,9521083785,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DT9416-QZ","F2",1,1113431,"ADW",,9521083789,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DT9424-QZ","F2",1,1113431,"ADW",,9521083789,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DT9432-QZ","F2",1,1113431,"ADW",,9521083789,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DT9409-QZ","F2",1,1113431,"ADW",,9521083792,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DT9416-QZ","F2",1,1147844,"ADW",,9521083847,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DT6902-B1","F2",1,1147844,"ADW",,9521083848,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DT6802-QZ","F2",1,1113316,"ADW",,9521083856,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DT6940-QZ","F2",1,1113110,"ADW",,9522004701,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DT34406","F2",1,1113110,"ADW",,9522004702,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DWA8052","F2",1,1113112,"ADW",,9522004703,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DW44560","F2",1,1145853,"ADW",,9522004704,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DW8500","F2",1,1123978,"ADW",,9522004706,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","DT6940-QZ","F2",1,1113110,"ADW",,9522004713,1,"INR",1,"USD",41011000,1/11/2013,"INR",1.00
"IN01","DWA8052","F2",1,1123978,"ADW",,9522004728,1,"INR",1,"USD",41011000,1/16/2013,"INR",1.00
"IN01","DW03240-IN","F2",1,1123978,"ADW",,9522004753,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","DW00703-B1","F2",1,1163655,"ADW",,9522308932,1,"INR",1,"USD",41011000,1/4/2013,"INR",1.00
"IN01","DW00706-B1","F2",1,1163655,"ADW",,9522308932,1,"INR",1,"USD",41011000,1/4/2013,"INR",1.00
"IN01","DW00709-B1","F2",1,1163655,"ADW",,9522308932,1,"INR",1,"USD",41011000,1/4/2013,"INR",1.00
"IN01","DT9588-QZ","F2",1,1163655,"ADW",,9522308932,1,"INR",1,"USD",41011000,1/4/2013,"INR",1.00
"IN01","DWA8052","F2",1,1120313,"ADW",,9522308959,1,"INR",1,"USD",41011000,1/9/2013,"INR",1.00
"IN01","DW4543","F2",1,1113379,"ADW",,9522308965,1,"INR",1,"USD",41011000,1/11/2013,"INR",1.00
"IN01","DW4547-IN","F2",1,1120172,"ADW",,9522308992,1,"INR",1,"USD",41011000,1/18/2013,"INR",1.00
"IN01","DT2077-QZ","F2",1,1120313,"ADW",,9522308993,1,"INR",1,"USD",41011000,1/19/2013,"INR",1.00
"IN01","DT2166-QZ","F2",1,1120313,"ADW",,9522308993,1,"INR",1,"USD",41011000,1/19/2013,"INR",1.00
"IN01","DT6905-B1","F2",1,1120313,"ADW",,9522308993,1,"INR",1,"USD",41011000,1/19/2013,"INR",1.00
"IN01","DT34406","F2",1,1120313,"ADW",,9522309022,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","DWA8052","F2",1,1120313,"ADW",,9522309023,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","DW4543","F2",1,1120313,"ADW",,9522309024,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","DW4547-IN","F2",1,1113359,"ADW",,9522309040,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","DT34406","F2",1,1113359,"ADW",,9522309041,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1113359,"ADW",,9522309042,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","DT34406","F2",1,1155156,"ADW",,9522309043,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","DW03410-IN","F2",1,1118875,"ADW",,9522309046,1,"INR",1,"USD",41011000,1/24/2013,"INR",1.00
"IN01","DW00705-B1","F2",1,1113359,"ADW",,9522309051,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DW00712-B1","F2",1,1163655,"ADW",,9522309058,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DT34406","F2",1,1159573,"ADW",,9522309061,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1120313,"ADW",,9522309066,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1120313,"ADW",,9522309067,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DT2077-QZ","F2",1,1120313,"ADW",,9522309074,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","DT6940-QZ","F2",1,1155276,"ADW",,9522601547,1,"INR",1,"USD",41011000,1/3/2013,"INR",1.00
"IN01","DT9515-QZ","F2",1,1143891,"ADW",,9522601548,1,"INR",1,"USD",41011000,1/3/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1155276,"ADW",,9522601551,1,"INR",1,"USD",41011000,1/5/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1155276,"ADW",,9522601554,1,"INR",1,"USD",41011000,1/8/2013,"INR",1.00
"IN01","DWA8011-IN","F2",1,1155276,"ADW",,9522601555,1,"INR",1,"USD",41011000,1/8/2013,"INR",1.00
"IN01","AX8721","F2",1,1143891,"ADW",,9522601561,1,"INR",1,"USD",41011000,1/10/2013,"INR",1.00
"IN01","DT9436-QZ","F2",1,1155048,"ADW",,9522601573,1,"INR",1,"USD",41011000,1/15/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1155276,"ADW",,9522601577,1,"INR",1,"USD",41011000,1/16/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1155276,"ADW",,9522601583,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","DWA8011R","F2",1,1155276,"ADW",,9522601585,1,"INR",1,"USD",41011000,1/23/2013,"INR",1.00
"IN01","DP240-QW","F2",1,1160999,"CPT",,9521082884,1,"INR",1,"USD",41011000,1/3/2013,"INR",1.00
"IN01","KRP12-KR","F2",1,1160999,"CPT",,9521082884,1,"INR",1,"USD",41011000,1/3/2013,"INR",1.00
"IN01","DP240-QW","F2",1,1160997,"CPT",,9521082885,1,"INR",1,"USD",41011000,1/3/2013,"INR",1.00
"IN01","KRP12-KR","F2",1,1160997,"CPT",,9521082885,1,"INR",1,"USD",41011000,1/3/2013,"INR",1.00
"IN01","DP240-QW","F2",1,1160997,"CPT",,9521082886,1,"INR",1,"USD",41011000,1/3/2013,"INR",1.00
"IN01","KRP12-KR","F2",1,1160997,"CPT",,9521082886,1,"INR",1,"USD",41011000,1/3/2013,"INR",1.00
"IN01","KR504RE-B1","F2",1,1126197,"CPT",,9521082887,1,"INR",1,"USD",41011000,1/3/2013,"INR",1.00
"IN01","KR704REK-B1","F2",1,1126197,"CPT",,9521082887,1,"INR",1,"USD",41011000,1/3/2013,"INR",1.00
"IN01","KRP12-KR","F2",1,1163251,"CPT",,9521082934,1,"INR",1,"USD",41011000,1/5/2013,"INR",1.00
"IN01","KR504RE-B1","F2",1,1163251,"CPT",,9521082934,1,"INR",1,"USD",41011000,1/5/2013,"INR",1.00
"IN01","KG75-IN","F2",1,1115450,"CPT",,9521082940,1,"INR",1,"USD",41011000,1/5/2013,"INR",1.00
"IN01","KS900EKX-QS","F2",1,1113012,"CPT",,9521082963,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","KR554RE-B1","F2",1,1113432,"CPT",,9521082966,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","KR704REK-B1","F2",1,1113432,"CPT",,9521082966,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","KD860KA-QS","F2",1,1113432,"CPT",,9521082966,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","KS900EKX-QS","F2",1,1113432,"CPT",,9521082966,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","KG75-IN","F2",1,1113429,"CPT",,9521082978,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","KD860KA-QS","F2",1,1113429,"CPT",,9521082979,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","KS700PE-B1","F2",1,1113429,"CPT",,9521082979,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","KW900EKA-QS","F2",1,1113429,"CPT",,9521082979,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","KS600E-B1","F2",1,1115450,"CPT",,9521083061,1,"INR",1,"USD",41011000,1/9/2013,"INR",1.00
"IN01","KS700PE-B1","F2",1,1115450,"CPT",,9521083061,1,"INR",1,"USD",41011000,1/9/2013,"INR",1.00
"IN01","KX1800-B1","F2",1,1113001,"CPT",,9521083095,1,"INR",1,"USD",41011000,1/10/2013,"INR",1.00
"IN01","KS600E-B1","F2",1,1113250,"CPT",,9521083137,1,"INR",1,"USD",41011000,1/11/2013,"INR",1.00
"IN01","KR554RE-B1","F2",1,1113012,"CPT",,9521083175,1,"INR",1,"USD",41011000,1/12/2013,"INR",1.00
"IN01","KR704REK-B1","F2",1,1113012,"CPT",,9521083175,1,"INR",1,"USD",41011000,1/12/2013,"INR",1.00
"IN01","KRP12-KR","F2",1,1113012,"CPT",,9521083175,1,"INR",1,"USD",41011000,1/12/2013,"INR",1.00
"IN01","KS900EKX-QS","F2",1,1113012,"CPT",,9521083175,1,"INR",1,"USD",41011000,1/12/2013,"INR",1.00
"IN01","KW900EKA-QS","F2",1,1118705,"CPT",,9521083200,1,"INR",1,"USD",41011000,1/14/2013,"INR",1.00
"IN01","KS600E-B1","F2",1,1118705,"CPT",,9521083200,1,"INR",1,"USD",41011000,1/14/2013,"INR",1.00
"IN01","KS700PE-B1","F2",1,1118705,"CPT",,9521083200,1,"INR",1,"USD",41011000,1/14/2013,"INR",1.00
"IN01","KRP12-KR","F2",1,1162866,"CPT",,9521083215,1,"INR",1,"USD",41011000,1/15/2013,"INR",1.00
"IN01","KR704REK-B1","F2",1,1118405,"CPT",,9521083226,1,"INR",1,"USD",41011000,1/15/2013,"INR",1.00
"IN01","KX1800-B1","F2",1,1160958,"CPT",,9521083241,1,"INR",1,"USD",41011000,1/15/2013,"INR",1.00
"IN01","RT650KA-QS","F2",1,1113076,"CPT",,9521083249,1,"INR",1,"USD",41011000,1/15/2013,"INR",1.00
"IN01","KX1800-B1","F2",1,1113076,"CPT",,9521083250,1,"INR",1,"USD",41011000,1/15/2013,"INR",1.00
"IN01","KS600E-B1","F2",1,1113272,"CPT",,9521083277,1,"INR",1,"USD",41011000,1/16/2013,"INR",1.00
"IN01","KP1200-B1","F2",1,1113272,"CPT",,9521083277,1,"INR",1,"USD",41011000,1/16/2013,"INR",1.00
"IN01","KS600E-B1","F2",1,1113362,"CPT",,9521083280,1,"INR",1,"USD",41011000,1/16/2013,"INR",1.00
"IN01","KX1800-B1","F2",1,1121605,"CPT",,9521083289,1,"INR",1,"USD",41011000,1/17/2013,"INR",1.00
"IN01","KR504RE-B1","F2",1,1145013,"CPT",,9521083316,1,"INR",1,"USD",41011000,1/17/2013,"INR",1.00
